npi,code,code_description,gold_card_status,start_date,end_date,pas,approval_rate
1003009986,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),no,10/1/2022,12/31/9999,9,89%
1003027038,30140,SUBMUCOUS RESCJ INFERIOR TURBINATE PRTL/COMPL,yes,8/1/2022,12/31/9999,14,100%
1003027038,30520,SEPTOPLASTY/SUBMUCOUS RESECJ W/WO CARTILAGE GRF,yes,8/1/2022,12/31/9999,12,100%
1003027038,31255,NASAL/SINUS NDSC W/TOTAL ETHOIDECTOMY,yes,8/1/2022,12/31/9999,5,100%
1003027038,31267,NSL/SINUS NDSC MAX ANTROST W/RMVL TISS MAX SINUS,yes,8/1/2022,12/31/9999,6,100%
1003027038,70486,CT MAXILLOFACIAL W/O CONTRAST MATERIAL,yes,8/1/2022,12/31/9999,9,100%
1003027038,70491,CT SOFT TISSUE NECK W/CONTRAST MATERIAL,yes,8/1/2022,12/31/9999,9,100%
1003045386,77049,MRI BREAST WITHOUT&WITH CONTRAST W/CAD BILATERAL,yes,10/1/2022,12/31/9999,6,100%
1003099813,71260,CT THORAX W/CONTRAST MATERIAL,no,10/1/2022,12/31/9999,5,80%
1003099813,74177,CT ABDOMEN & PELVIS W/CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,6,100%
1003197088,0005U,ONCO PRST8 GENE XPRS PRFL 3 GENE UR ALG RSK SCOR,no,10/1/2022,12/31/9999,9,67%
1003197088,50590,LITHOTRIPSY XTRCORP SHOCK WAVE,yes,10/1/2022,12/31/9999,6,100%
1003197088,74176,CT ABDOMEN & PELVIS W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,8,88%
1003197088,74178,CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,yes,10/1/2022,12/31/9999,11,91%
1003962374,81220,CFTR GENE ANALYSIS COMMON VARIANTS,yes,10/1/2022,12/31/9999,7,100%
1003962374,81329,SMN1 GENE ANALYSIS DOSAGE/DELET ALYS W/SMN2 ALYS,yes,10/1/2022,12/31/9999,7,100%
1003962374,81420,FETAL CHROMOSOMAL ANEUPLOIDY GENOMIC SEQ ANALYS,yes,10/1/2022,12/31/9999,7,100%
1013107887,47562,LAPAROSCOPY SURG CHOLECYSTECTOMY,yes,10/1/2022,12/31/9999,5,100%
1013107887,74177,CT ABDOMEN & PELVIS W/CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,6,100%
1013910876,70551,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,8,63%
1013910876,70553,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,8,100%
1013910876,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,5,80%
1013960228,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,7,57%
1013997360,36465,NJX NONCMPND SCLEROSANT SINGLE INCMPTNT VEIN,no,10/1/2022,12/31/9999,11,55%
1013997360,36475,ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,no,10/1/2022,12/31/9999,11,45%
1013997360,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,yes,10/1/2022,12/31/9999,21,100%
1023077161,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,no,10/1/2022,12/31/9999,27,85%
1023158649,72197,MRI PELVIS W/O & W/CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,5,100%
1023187614,74183,MRI ABDOMEN W/O & W/CONTRAST MATERIAL,no,10/1/2022,12/31/9999,6,83%
1023309762,95250,CONT GLUC MNTR PHYSICIAN/QHP PROVIDED EQUIPTMENT,no,10/1/2022,12/31/9999,6,67%
1023309762,95251,CONTINUOUS GLUCOSE MONITORING ANALYSIS I&R,no,10/1/2022,12/31/9999,6,67%
1033114533,90791,PSYCHIATRIC DIAGNOSTIC EVALUATION,yes,10/1/2022,12/31/9999,6,100%
1033114533,90832,PSYCHOTHERAPY W/PATIENT 30 MINUTES,yes,10/1/2022,12/31/9999,6,100%
1033114533,90834,PSYCHOTHERAPY W/PATIENT 45 MINUTES,yes,10/1/2022,12/31/9999,6,100%
1033114533,90846,FAMILY PSYCHOTHERAPY W/O PATIENT PRESENT 50 MINS,yes,10/1/2022,12/31/9999,6,100%
1033114533,90847,FAMILY PSYCHOTHERAPY W/PATIENT PRESENT 50 MINS,yes,10/1/2022,12/31/9999,6,100%
1033115274,11042,DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,no,10/1/2022,12/31/9999,6,50%
1033115274,11043,DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,no,10/1/2022,12/31/9999,6,50%
1033115274,11044,DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,no,10/1/2022,12/31/9999,6,50%
1033115274,11045,DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,no,10/1/2022,12/31/9999,6,50%
1033115274,11046,DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM,no,10/1/2022,12/31/9999,6,50%
